,project,dependencyProblems,nonDependencyProblems,cranDependencies,nonCranDependencies,createdAtMillis,descriptionChurn,sourceContributors,issueContributors,PRContributors,forksCount,watchersCount,starsCount,isCRAN,sourceLOC,soureceFiles,commentsCount,downstreamProjects,upstreamContributions,upstreamContributionsFraction,upstreamIssueContributions,upstreamIssueContributionsFraction,upstreamAllContributions,upstreamAllContributionsFraction,uniqueUsersAll,averageUpstreamVersion,averageUpstreamReleases,averageUpstreamAge
2401,acgerstein_diskimager,0,3,5,1,1421367909000,16,2,1,1,2,1,1,True,1847,16,376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,3.014493583461964,2098.25
2403,leeper_colourlovers,0,3,5,2,1390602728000,11,1,1,1,0,31,31,True,488,8,19,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1.3333333333333333,2.2661458638410954,1703.0
2405,analyxcompany_forceatlas2,1,0,2,0,1434097231000,1,2,2,2,1,13,13,False,104,2,74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,3.3549874056603217,1824.5
2406,gaborcsardi_disposables,1,3,1,2,1412997443000,14,1,3,3,0,8,8,True,108,1,105,4.0,1.0,1.0,3.0,1.0,3.0,1.0,3,2.0,2.4620573355817874,2372.0
2409,luiscape_freegeoip,0,4,2,0,1388786282000,2,1,2,2,1,0,0,False,19,2,43,0.0,,,,,,,2,1.0,2.588652482269504,3102.0
2413,timelyportfolio_rchartsextra,0,2,1,1,1395790359000,1,1,1,1,1,1,1,False,233,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,,2769.0
2415,wjrl_rbiofabric,0,1,1,0,1372661941000,2,1,2,2,7,6,6,False,383,1,510,0.0,,,,,,,2,2.0,2.7063185041908446,3102.0
2420,pbiecek_bgmm,0,5,5,0,1377718307000,9,1,2,2,1,1,1,True,1104,14,173,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.8,2.5073008441631544,3102.0
2428,stephenturner_annotables,1,1,1,0,1446828398000,3,1,3,3,6,18,18,False,12,12,93,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,3,1.0,2.0018281535649,547.0
2433,swish-climate-impact-assessment_excessheatindices,0,2,3,1,1330471924000,1,1,1,1,1,2,2,False,47,2,44,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,1,2.0,2.4620573355817874,2141.6666666666665
2434,mihi-tr_r-openspending,0,14,2,1,1376499054000,10,1,3,3,1,10,10,False,179,8,117,0.0,,,,,,,3,1.0,2.588652482269504,3102.0
2439,chriskust_rexpar,1,2,3,2,1414596163000,21,2,2,2,2,0,0,False,3387,82,57,2.0,,,,,,,2,2.5,0.6050704614534401,2828.5
2441,francescojm_fi.gdsc.anova,0,2,5,1,1441640307000,1,2,1,1,1,0,0,False,2304,14,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.4,1.4283534176383197,2627.6
2443,stanstrup_apcs,0,1,4,6,1397055717000,1,1,1,1,0,0,0,False,224,7,66,1.0,1.0,0.125,2.0,0.25,2.0,0.25,1,1.6,2.6787868548959684,1609.6
2444,jennybc_googlesheets,74,126,20,2,1414126071000,69,5,73,77,58,306,306,True,2909,80,2210,63.0,14.0,0.16470588235294115,106.0,0.08097784568372804,111.0,0.08479755538579067,77,4.388888888888889,3.0626506406477074,1215.7222222222224
2445,rstudio_manipulate,0,2,0,0,1419354088000,2,2,2,3,2,1,1,True,271,2,79,272.0,,,,,,,3,,,
2449,taipeirhackers_datataipei,5,41,16,0,1431172908000,11,4,4,5,12,21,21,False,74,6,66,2.0,1.0,0.02083333333333333,2.0,0.03333333333333333,3.0,0.04166666666666666,5,2.1538461538461537,3.815042801733274,1753.3846153846155
2450,snowball-project_desnowball,0,1,4,1,1374362194000,4,1,0,1,2,0,0,True,552,23,213,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.6666666666666667,1.7892686694601139,3345.333333333333
2455,harrysouthworth_sombrero,1,0,5,0,1405603144000,5,1,2,2,0,0,0,True,751,13,10,2.0,1.0,0.5,3.0,0.75,3.0,0.75,2,2.0,2.4313349771180555,2645.75
2457,spatstat_spatstat,3,10,16,5,1407763723000,436,2,5,5,8,18,18,True,78922,412,15923,326.0,,,,,,,5,2.4285714285714284,1.7884064564399245,3360.666666666666
2458,gdlc_dmatrix,13,37,4,0,1409435272000,6,2,0,2,3,0,0,False,851,5,227,1.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.16666666666666666,2,2.333333333333333,2.4680100854260374,2858.666666666666
2461,hackout2_epiphylo,1,2,3,0,1424955757000,5,1,2,2,1,1,1,False,182,3,99,0.0,0.0,0.0,1.0,0.25,1.0,0.25,2,2.5,3.756333970467837,2737.0
2465,aalfons_simframe,1,2,6,3,1353051286000,8,1,1,1,0,0,0,True,2412,31,880,3.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,1,2.25,2.2731615602644126,2828.25
2467,raivokolde_pheatmap,5,18,4,4,1344572320000,34,3,11,16,17,12,12,True,638,2,268,184.0,0.0,0.0,1.0,0.03125,1.0,0.03125,16,1.0,1.1749857165612536,1459.5
2469,rodazuero_gmapsdistance,0,1,2,0,1441639463000,5,2,0,1,0,2,2,True,62,3,64,1.0,,,,,,,1,,,
2470,marcoblume_pinnacle.api,0,3,7,0,1441397830000,12,1,5,5,5,6,6,True,380,17,447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.2,2.6248240718085016,1368.25
2475,trinker_gtrend,1,2,6,1,1416717858000,5,1,5,5,5,4,4,False,105,4,155,4.0,2.0,0.2857142857142857,4.0,0.11428571428571427,4.0,0.11428571428571427,5,1.8,2.6938677765028984,1636.4
2477,seflab_seflab-analysis,0,1,2,0,1373464053000,2,2,0,1,1,1,1,False,1359,8,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,1.8826563507414567,3102.0
2478,flaviobarros_discretereg,0,1,2,0,1400820812000,2,1,0,1,0,0,0,False,264,8,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,6.589297227595099,3102.0
